,Volume,Close,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
0,37000,3792.610107421875,3726.137651809023,3707.3982151126866,3708.7321880411528,3713.1767967448022,3716.5176582596273,3718.942305357263,17.017901564063003,65.5944192230806,1
1,26000,3815.31005859375,3743.9721331659684,3717.6755335394546,3712.911712376549,3715.1992375734944,3717.5006672181757,3719.3270069669898,19.3465678524358,68.20271372057323,1
2,19800,3832.5,3761.677706532775,3728.6111970118877,3717.6014491460965,3717.522024948277,3718.6449391861543,3719.778795362331,20.909414755562118,70.05410890373186,-1
3,26000,3765.820068359375,3762.5061788980956,3732.1548990449814,3719.4923753897547,3718.478421847506,3719.1143434565347,3719.9625928593255,16.510297738955426,56.348537309574496,-1
4,29000,3741.659912109375,3758.336925540352,3733.060138384448,3720.36169055523,3718.937461258632,3719.338677472981,3720.049208904236,11.280828646346194,52.35198100659177,1
5,24200,3806.830078125,3768.0355560572816,3740.085846931167,3723.7526077148286,3720.677909117372,3720.209238673499,3720.395639519888,11.480189554922788,60.49194851842774,1
6,29200,3883.760009765625,3791.1804467989505,3753.7691005344486,3730.027407795252,3723.9072576450603,3721.836609530137,3721.047792694522,15.796100201104263,67.5411797381895,0
7,21800,3893.409912109375,3811.626339861036,3767.0682254463463,3736.4345648271787,3727.2637458522745,3723.5438065707267,3721.735865027515,18.13628050532676,68.30511675846785,0
8,27400,3889.409912109375,3827.183054310704,3778.719814652349,3742.4335980539317,3730.4745610256823,3725.194215581062,3722.405222500896,18.20299405817347,67.59494920241781,1
9,25200,3926.070068359375,3846.960457120438,3792.7531721482565,3749.6350282619883,3734.3477393887256,3727.1929802853238,3723.2182558176964,19.394593337739327,70.6108283770225,0
10,22600,3921.199951171875,3861.8083559307256,3804.9861987219347,3756.363064454533,3738.0477831864114,3729.1233979060858,3724.008601906935,18.534214365065296,69.68302065342384,1
11,19400,3977.72998046875,3884.9926808383307,3821.4379874597266,3765.0441199845022,3742.7939653108137,3731.5970952450175,3725.0214617015927,20.308968347840533,73.96012676644112,1
12,24400,4006.909912109375,3909.3761270925397,3839.1019802835026,3774.529053009007,3748.0239840593,3734.336526258593,3726.1467648968332,21.85062949510968,75.85379026809437,1
13,21200,4056.60009765625,3938.820921205282,3859.8160866999547,3785.590662603017,3754.1344021503287,3737.5431289590674,3727.465939877909,24.424490628084683,78.69507630903114,1
14,27000,4095.389892578125,3970.134715479851,3882.2516872597803,3797.7396520138054,3760.8919366142454,3741.1037932736854,3728.934698172122,26.75908284227411,80.61290686682852,1
15,28000,4125.1201171875,4001.131795821381,3905.382013919563,3810.5781016284604,3768.1043758335177,3744.924851223077,3730.5162766911453,28.18217277684026,81.9537633307843,-1
16,34200,4004.6298828125,4001.831413219605,3914.8341919093664,3818.187975400384,3772.7880492390423,3747.5089808906337,3731.6105425838455,19.308398392930826,62.95120805852807,1
17,28800,4152.2900390625,4031.9231383881843,3937.449034495379,3831.290017112624,3780.302940126636,3751.5366531112495,3733.2899018512253,21.514650589891147,71.63213211219107,1
18,25600,4205.56005859375,4066.650522429298,3962.9834177428424,3845.967273641296,3788.7238731655884,3756.054298936946,3735.1752118581817,24.47719915265013,73.99906071695283,0
19,28600,4212.2900390625,4095.7784257559383,3986.726905487572,3860.332872285265,3797.11132199523,3760.5939580426734,3737.0798618669814,24.73261287950821,74.29091144026742,1
20,35200,4244.72998046875,4125.568736698501,4011.2986269143507,3875.407268684617,3805.9750578065864,3765.4112318976595,3739.106409246629,24.862236743755943,75.70642522491676,1
21,24800,4324.759765625,4165.406942483801,4041.152068696317,3893.028935231299,3816.2480223178422,3770.976888949673,3741.444346797042,27.886629444838675,78.80658849619326,1
22,31200,4339.2001953125,4200.165593049541,4069.5376045645253,3910.525847391346,3826.6035108919937,3776.6308521970645,3743.8305976893193,28.317544802182027,79.31941344129073,-1
23,28800,4257.93994140625,4211.720462720883,4087.480684263737,3924.1499295095773,3835.1448263477214,3781.4199973633254,3745.882930398768,20.92839404402872,69.1755451031649,1
24,33000,4310.509765625,4231.478323301707,4108.721549155286,3939.3012956317507,3844.557993462123,3786.6845721718996,3748.1369297409888,17.518151728340342,71.69725808433921,1
25,30800,4369.169921875,4259.016643016366,4133.526156080973,3956.1588888177607,3854.9463484801995,3792.480446298299,3750.616103362282,17.12932602823271,74.23061126388257,1
26,25200,4434.25,4294.063314413093,4162.166522168499,3974.9075598445156,3866.417707916235,3798.8662130017988,3753.3451807939696,19.02531183093629,76.7202434840176,0
27,30400,4425.2001953125,4320.290690592975,4187.217348182213,3992.5660945687505,3877.482707666656,3805.0983919302635,3756.0272367401512,17.479824036444,75.6260892483731,0
28,26600,4434.259765625,4343.0845055993805,4210.745197462478,4009.887415002329,3888.507995943059,3811.3587041063306,3758.73475182552,14.974162238550775,75.99516906987964,-1
29,25800,4393.1298828125,4353.093581042005,4228.115167495814,4024.9165313870417,3898.5005085543353,3817.1474720536557,3761.267267318482,8.760930117416052,70.7567805601844,-1
30,26600,4305.91015625,4343.656896083605,4235.524214043831,4035.935889224805,3906.5680263304866,3822.0107823441667,3763.441490427989,-2.411741445821889,61.13331305498214,-1
31,33800,4193.830078125,4313.691532491885,4231.553343956323,4042.127818201284,3912.2563837917637,3825.710476829548,3765.159608542548,-17.688236377556677,51.449562504564895,1
32,40400,4274.75,4305.9032259935075,4235.667311198578,4051.2502567031943,3919.434475201828,3830.1785317864683,3767.193901522418,-22.378984999386745,56.77343995744619,-1
33,32200,4235.35009765625,4291.792600326056,4235.637100385023,4058.4698583091968,3925.690230101915,3834.2100896558195,3769.0627885329322,-27.816419979279758,53.68652563666046,-1
34,33600,4134.14990234375,4260.264060729595,4225.97165295252,4061.437703173297,3929.818144403733,3837.194565403958,3770.5202221209993,-37.31737524880208,46.667669113848966,1
35,35400,4217.1201171875,4251.635272021176,4225.128649546328,4067.5428958797365,3935.5072923796492,3840.974919153048,3772.3030560334405,-37.0288313703482,52.186842499287025,-1
36,24600,4151.72021484375,4231.652260585691,4218.137370050845,4070.8439672116583,3939.7887363888394,3844.0669121449955,3773.817695389969,-40.00378308936675,47.9726287614178,1
37,25200,4231.68994140625,4231.659796749803,4219.428091132312,4077.1516524741915,3945.568958270372,3847.9238577097844,3775.645528707399,-35.49995191904574,52.973351337107076,1
38,30400,4356.39013671875,4256.605864743592,4232.472095473878,4088.102181268096,3953.704031110934,3852.9832236700727,3777.9638704559475,-23.609157205546012,59.508959698786455,-1
39,31000,4297.14990234375,4264.7146722636235,4238.631886604342,4096.300131114201,3960.504939452178,3857.4027926121,3780.036469385639,-19.396530419296596,55.55867677676552,1
40,24800,4382.56982421875,4288.285702654649,4252.340261615238,4107.526393588889,3968.8626599426048,3862.6283352151513,3782.441792159424,-10.941181560472984,59.711591732077636,1
41,31600,4402.0498046875,4311.038523061219,4266.598313336406,4119.0763312790305,3977.4406232048796,3867.9957130208463,3784.9152772393763,-4.45301590759729,60.61546147355274,1
42,30400,4453.240234375,4339.478865323976,4284.373734387701,4132.180798067108,3986.8623976834956,3873.819041591534,3787.5832411401175,2.4958731695080303,62.966732599953325,0
43,26400,4455.080078125,4362.599107884181,4300.631481410301,4144.843514932124,3996.134034919961,3879.60273349734,3790.2478991719936,6.21413481292781,63.052110101295895,1
44,33000,4552.919921875,4400.663270682345,4324.658951930748,4160.846511282825,4007.1594980279815,3886.302407013536,3793.2924980650196,13.824916805349318,67.36137118092606,1
45,26400,4631.39013671875,4446.808643889626,4353.871445720081,4179.299202476391,4019.5205007743334,3893.7162152693095,3796.638197221322,22.208851125907245,70.34837288710503,0
46,33400,4632.93994140625,4484.034903392951,4380.449397690192,4197.089035375601,4031.667420390807,3901.0716752308713,3799.976727138228,25.678383316239433,70.40597844181585,0
47,28800,4634.85986328125,4514.199895370611,4404.678965841722,4214.256518822882,4043.6118252005185,3908.373050236348,3803.309593949178,25.850878633054165,70.48248293213527,1
48,25400,4698.68017578125,4551.0959514527385,4432.679081074058,4233.253524978112,4056.5834757070675,3916.236802729332,3806.8839276091862,27.839231559812617,72.9827380601248,1
49,33200,4768.89990234375,4594.656741630941,4464.700111671171,4254.259265266961,4070.688751482051,3924.721012675744,3810.724310741859,31.20644052670582,75.44703655522264,1
50,29600,4849.27001953125,4645.579397211002,4501.325817181654,4277.593020336149,4086.1062023345103,3933.9205052812717,3814.8702017949104,35.838023514732214,77.92847995177159,-1
51,37600,4782.02978515625,4672.869474800052,4528.05952841733,4297.374854250663,4099.8868673408815,3942.3594035884857,3818.731118295355,31.517466513749085,71.42466785195496,1
52,31800,4855.259765625,4709.347532965042,4559.221455770441,4319.252693912402,4114.844746514825,3951.4429892803914,3822.8689572068506,30.70501860258142,73.97238140653418,1
53,39200,4887.31982421875,4744.941991215784,4590.4689194321845,4341.529836277357,4130.141282706982,3960.7551965932107,3827.1182620651816,29.436624185551523,75.02233759758496,1
54,35400,4930.52978515625,4782.059550003877,4622.855668548762,4364.627873488294,4145.990559983205,3970.404694986873,3831.5230984847067,28.593411361500415,76.40393219264736,-1
55,31000,4851.669921875,4795.981624378102,4644.64750219888,4383.727561660322,4159.964408733537,3979.1735032146157,3835.5955408934506,20.205515559752598,68.91220724647502,-1
56,39400,4755.72021484375,4787.929342471232,4655.225855784106,4398.315508843985,4171.761553408986,3986.90033616615,3839.2686932844695,6.391779630401913,61.06635014710111,-1
57,34000,4741.2001953125,4778.583513039486,4663.413888120143,4411.761967136868,4183.037566119947,3994.405807401437,3842.8692182426653,-4.91654464845584,59.95392679379905,-1
58,31000,4648.41015625,4752.54884168159,4661.984961275368,4421.04228827856,4192.252864934403,4000.913313360129,3846.08495053012,-19.045528391536266,53.274948762007696,1
59,38400,4757.3701171875,4753.513096782772,4671.069261838428,4434.23161490244,4203.443305573079,4008.440246731546,3849.722815466876,-21.283159879752247,59.044649565342255,-1
