,Volume,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
0,19778560,61.28503781498771,65.26520386221863,69.78421219607347,71.95925233009969,73.21051105885553,74.019726773396,-0.7562949546433315,37.8526435986006,1
1,20786048,61.83999009085736,65.15040341765837,69.55972541169162,71.8028275155301,73.11945919950708,73.97996658345963,-0.2593553035730518,44.94426167529607,1
2,25256320,62.72176166497105,65.25501718373145,69.42988708030865,71.69284772237951,73.0510949085809,73.94910383446947,0.23722471540687096,49.197353207577834,1
3,20469632,63.64732815521903,65.45450070111046,69.34830696406952,71.60684270047517,72.99436355741304,73.92275848629279,0.6375541654492993,51.237243493183264,1
4,12953792,65.02941342749554,65.94052487401437,69.3957362798551,71.58606867703213,72.97011869133532,73.90932533671318,1.0896068312244136,56.69497698070724,1
5,17281536,66.55666978008237,66.58101728510155,69.52396996262273,71.60744741987168,72.96708960177408,73.90436074531084,1.4776843718455428,59.8729370982097,-1
6,7598272,67.03411908822606,66.80605528850148,69.50122276098264,71.55470422979107,72.92705802683902,73.8845585719595,1.429912853913335,52.5414942425623,1
7,7055424,67.7897357613035,67.18759311375022,69.5526337293211,71.5400012243222,72.90601468780196,73.8722936772755,1.4649496801970134,55.48803953404884,-1
8,9491520,68.2957030987889,67.48587685993881,69.58270975753324,71.51583431787483,72.88027894412961,73.85811115740107,1.396045415014434,54.526713864595294,1
9,6032064,68.84367917824989,67.82394415862024,69.6396851982611,71.50632440061183,72.8619237655422,73.84684358190684,1.339555741270834,55.72729297347528,1
10,20176704,70.15301646271709,68.54455572452173,69.86520207678366,71.583236107542,72.88708239076652,73.85300534645246,1.5229733245076589,62.25454647699138,1
11,16988608,72.3446620105057,69.74138319853492,70.30622333658275,71.77190953514831,72.9689148465963,73.88198035186248,1.9308549985364143,68.76879259503063,1
12,14902784,74.86553826318972,71.18973177714358,70.88045156941973,72.03284287651024,73.08812010457969,73.92616024376693,2.333470039311484,72.23107697519997,-1
13,10595520,76.52242633809084,72.32880290671994,71.36160949366584,72.25298417871194,73.18823809993407,73.96298187408202,2.346628387300693,68.40285253387805,1
14,18777728,78.80117776480861,73.81331534147802,72.0108084731958,72.56314654094894,73.33478482005094,74.01868327766525,2.5286247620906996,72.55312679311038,1
15,2100224,82.03089582512814,75.82631083909023,72.9103755160668,73.0064459770966,73.54985928021368,74.10224050237079,2.945840622439084,77.29309617214066,1
16,1518912,86.1339390722119,78.3710538125623,74.07256126290915,73.59138985993721,73.83837920837621,74.21578889182459,3.517816178062007,81.09114455683711,-1
17,21339968,87.9276529667539,79.96452569183464,74.89726507789004,74.01735260617453,74.04996258485924,74.29916901020022,3.1889760800545455,68.92524602402888,1
18,12720448,89.50792437535624,81.47542896020902,75.71811782031654,74.44926661416643,74.26666952441055,74.38511647926036,2.826889214819472,69.40766166347132,1
19,12125248,91.26943764481624,83.07924436615636,76.6042893066828,74.92186511136424,74.50596127762692,74.48064691536173,2.5688198234152857,71.0634099538024,-1
20,10628288,91.85055682972018,84.13598619503061,77.29333810129665,75.30311597191813,74.70167343973348,74.55926722136562,1.960704440509053,64.77637116707686,1
21,17751552,93.06039236319022,85.44681936665344,78.1014320776015,75.7505737644954,74.93249991791593,74.6524427394323,1.6625325971419596,67.55703465819936,-1
22,12066560,93.21744841203655,86.24671015148853,78.71885327484937,76.10889255346424,75.12069069094585,74.72906241954404,1.074046302007,61.83521862945759,-1
23,11944576,92.16855559242221,86.41111721458151,79.08176037442252,76.34382506357316,75.24857420958286,74.78193236722636,0.21593749962028852,54.618579749525466,1
24,8260480,91.48610027227761,86.63446595525939,79.46115326137455,76.58961623046675,75.38297923229048,74.83771818209452,-0.3419048670868907,55.366800929659775,-1
25,4929856,90.34862142875959,86.55486977425255,79.70968474346526,76.77197444480775,75.48661830515015,74.88147462070766,-0.9202571918559865,51.888118310638205,-1
26,7616384,88.52692418158189,86.04870457602574,79.76970240814784,76.86045287546247,75.54386722940608,74.90685849524723,-1.581221071496877,46.987757837052264,1
27,16031808,87.58451694536318,85.83596014026027,79.92833713725922,76.99816446209665,75.6261659435462,74.94241949127614,-1.8004794800092956,49.86760897094342,1
28,6285824,88.17162356605617,86.28206394107626,80.34369842790899,77.265924572725,75.77436379534005,75.00460564120648,-1.4636948431054932,56.49564712301039,1
29,1607040,90.08965328399728,87.37536948533202,81.02676014272676,77.67178294070591,75.99314397803082,75.09545261332048,-0.7584699387956393,62.29388037892031,1
30,1708224,93.18831198266659,89.1094244655236,81.9897478538882,78.2244792543027,76.28756987653145,75.21715917684952,0.17942514462871628,67.35447386803028,1
31,1385792,97.35664171259812,91.48280886236176,83.24622678637589,78.93349868753084,76.66311605320601,75.37210050002507,1.253518030282697,71.76239115816898,1
32,3477312,102.51577754244178,94.49895286230982,84.81117165207944,79.8091189286058,77.12569520553049,75.56283990266695,2.396913342601435,75.5948686180108,-1
33,22432768,105.5264068239925,96.69609296591796,86.09578938926046,80.5568378399244,77.52811539204457,75.73052886094052,2.5798572859303235,69.38748211982596,-1
34,8334720,107.06329159688931,98.26892512997115,87.1591243421709,81.20345155969771,77.8831672855414,75.8801508243239,2.2235346941995138,64.90732849474642,-1
35,10259648,107.92286838493334,99.51580612112717,88.10822438903124,81.80063421271576,78.21628179550726,76.02179164154062,1.7029040793667818,63.04672746668596,-1
36,7513664,106.82881594818105,99.79550136684571,88.67074916597794,82.20958415308124,78.45743925228004,76.12730387531161,0.6522160207524106,54.88609634482286,-1
